PERMNO,date,TICKER,COMNAM,PRC,vwretd
18163,10/29/1976,PG,PROCTER & GAMBLE CO,95,-0.020373
18163,11/30/1976,PG,PROCTER & GAMBLE CO,93.625,0.005361
18163,12/31/1976,PG,PROCTER & GAMBLE CO,93.625,0.061593
18163,1/31/1977,PG,PROCTER & GAMBLE CO,86.125,-0.036328
18163,2/28/1977,PG,PROCTER & GAMBLE CO,82.375,-0.015744
18163,3/31/1977,PG,PROCTER & GAMBLE CO,79,-0.009249
18163,4/29/1977,PG,PROCTER & GAMBLE CO,77.5,0.004962
18163,5/31/1977,PG,PROCTER & GAMBLE CO,74.125,-0.010777
18163,6/30/1977,PG,PROCTER & GAMBLE CO,80.125,0.051369
18163,7/29/1977,PG,PROCTER & GAMBLE CO,79.75,-0.012806
18163,8/31/1977,PG,PROCTER & GAMBLE CO,86.25,-0.013338
18163,9/30/1977,PG,PROCTER & GAMBLE CO,85.125,0.001572
18163,10/31/1977,PG,PROCTER & GAMBLE CO,82.875,-0.039278
18163,11/30/1977,PG,PROCTER & GAMBLE CO,85.375,0.04544
18163,12/30/1977,PG,PROCTER & GAMBLE CO,85.875,0.008223
18163,1/31/1978,PG,PROCTER & GAMBLE CO,78.875,-0.055199
18163,2/28/1978,PG,PROCTER & GAMBLE CO,76.75,-0.009275
18163,3/31/1978,PG,PROCTER & GAMBLE CO,74.125,0.034009
18163,4/28/1978,PG,PROCTER & GAMBLE CO,84.5,0.082853
18163,5/31/1978,PG,PROCTER & GAMBLE CO,85.625,0.02323
18163,6/30/1978,PG,PROCTER & GAMBLE CO,86,-0.010748
18163,7/31/1978,PG,PROCTER & GAMBLE CO,90.375,0.056741
18163,8/31/1978,PG,PROCTER & GAMBLE CO,87.125,0.04237
18163,9/29/1978,PG,PROCTER & GAMBLE CO,87,-0.006889
18163,10/31/1978,PG,PROCTER & GAMBLE CO,82.5,-0.110995
18163,11/30/1978,PG,PROCTER & GAMBLE CO,85.75,0.033787
18163,12/29/1978,PG,PROCTER & GAMBLE CO,88.875,0.017708
18163,1/31/1979,PG,PROCTER & GAMBLE CO,84.5,0.04953
18163,2/28/1979,PG,PROCTER & GAMBLE CO,81.25,-0.026765
18163,3/30/1979,PG,PROCTER & GAMBLE CO,81,0.065613
18163,4/30/1979,PG,PROCTER & GAMBLE CO,80,0.00852
18163,5/31/1979,PG,PROCTER & GAMBLE CO,80.625,-0.013571
18163,6/29/1979,PG,PROCTER & GAMBLE CO,76.875,0.046852
18163,7/31/1979,PG,PROCTER & GAMBLE CO,74.125,0.014991
18163,8/31/1979,PG,PROCTER & GAMBLE CO,80.125,0.064732
18163,9/28/1979,PG,PROCTER & GAMBLE CO,77.25,0.001426
18163,10/31/1979,PG,PROCTER & GAMBLE CO,74.25,-0.072662
18163,11/30/1979,PG,PROCTER & GAMBLE CO,74,0.063604
18163,12/31/1979,PG,PROCTER & GAMBLE CO,74.25,0.028215
18163,1/31/1980,PG,PROCTER & GAMBLE CO,72.125,0.065607
18163,2/29/1980,PG,PROCTER & GAMBLE CO,71.25,0.001015
18163,3/31/1980,PG,PROCTER & GAMBLE CO,67.75,-0.120224
18163,4/30/1980,PG,PROCTER & GAMBLE CO,71.5,0.052287
18163,5/30/1980,PG,PROCTER & GAMBLE CO,77.875,0.06009
18163,6/30/1980,PG,PROCTER & GAMBLE CO,73.75,0.037714
18163,7/31/1980,PG,PROCTER & GAMBLE CO,80.5,0.069438
18163,8/29/1980,PG,PROCTER & GAMBLE CO,78.5,0.023553
18163,9/30/1980,PG,PROCTER & GAMBLE CO,71.5,0.029498
18163,10/31/1980,PG,PROCTER & GAMBLE CO,67.625,0.020095
18163,11/28/1980,PG,PROCTER & GAMBLE CO,70.375,0.104952
