caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
19901231,0.027987,0.024954,0.024828
19910131,0.045001,0.043063,0.041518
19910228,0.071565,0.067371,0.067281
19910328,0.024354,0.022312,0.022203
19910430,0.002268,0.000214,0.000346
19910531,0.04293,0.038759,0.038577
19910628,-0.045357,-0.047498,-0.047893
19910731,0.046526,0.044799,0.044859
19910830,0.023885,0.019912,0.019649
19910930,-0.016861,-0.019061,-0.019144
19911031,0.013458,0.011899,0.01186
19911129,-0.040214,-0.043973,-0.043928
19911231,0.114089,0.111476,0.111588
19920131,-0.018348,-0.019654,-0.0199
19920228,0.012865,0.009442,0.009565
19920331,-0.01947,-0.021873,-0.021832
19920430,0.028614,0.027157,0.027893
19920529,0.00485,0.001087,0.000964
19920630,-0.01503,-0.017545,-0.017359
19920731,0.040924,0.039465,0.039374
19920831,-0.020615,-0.024214,-0.023998
19920930,0.01134,0.008916,0.009106
19921030,0.004796,0.003455,0.002106
19921130,0.033794,0.030069,0.030262
19921231,0.01338,0.011197,0.010108
19930129,0.007282,0.005964,0.007046
19930226,0.013526,0.010361,0.010484
19930331,0.021202,0.018578,0.018697
19930430,-0.024519,-0.02578,-0.025417
19930528,0.026259,0.022549,0.022717
19930630,0.003466,0.001095,0.000755
19930730,-0.004593,-0.005909,-0.005327
19930831,0.037431,0.033957,0.034432
19930930,-0.007582,-0.009842,-0.009988
19931029,0.019884,0.01859,0.019393
19931130,-0.008655,-0.012084,-0.012911
19931231,0.012646,0.010617,0.010091
19940131,0.033429,0.031954,0.032501
19940228,-0.027161,-0.030121,-0.030045
19940331,-0.043456,-0.045728,-0.045746
19940429,0.012817,0.011477,0.011531
19940531,0.016309,0.012559,0.012419
19940630,-0.024762,-0.027113,-0.026812
19940729,0.032714,0.031381,0.031467
19940831,0.041341,0.03799,0.037643
19940930,-0.02394,-0.026238,-0.026898
19941031,0.022619,0.021043,0.020834
19941130,-0.036248,-0.039423,-0.039505
19941230,0.014955,0.012419,0.012299
19950131,0.026,0.024348,0.024278
19950228,0.039228,0.036328,0.036074
19950331,0.029334,0.027179,0.027329
19950428,0.029395,0.027914,0.02796
19950531,0.039809,0.036454,0.036312
19950630,0.024155,0.022198,0.021279
19950731,0.033405,0.032023,0.031776
19950831,0.003495,0.000642,-0.00032
19950929,0.042102,0.040182,0.040098
19951031,-0.003442,-0.004864,-0.004979
19951130,0.044179,0.041338,0.041049
19951229,0.017643,0.015809,0.017444
19960131,0.034861,0.033415,0.032617
19960229,0.010088,0.007689,0.006934
19960329,0.009585,0.00786,0.007917
19960430,0.015133,0.013857,0.013431
19960531,0.025257,0.02253,0.022853
19960628,0.004128,0.002562,0.002257
19960731,-0.044441,-0.046048,-0.045748
19960830,0.021928,0.019589,0.018814
19960930,0.056035,0.054112,0.054173
