caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
19801231,-0.030709,-0.033084,-0.033874
19810130,-0.04337,-0.045036,-0.045742
19810227,0.021199,0.013415,0.013277
19810331,0.038285,0.035426,0.036033
19810430,-0.020226,-0.021983,-0.023456
19810529,0.006337,-0.001356,-0.001657
19810630,-0.007931,-0.010867,-0.010408
19810731,0.000639,-0.001023,-0.00221
19810831,-0.055548,-0.063681,-0.062099
19810930,-0.050737,-0.053777,-0.053832
19811030,0.051457,0.048012,0.049148
19811130,0.043827,0.035918,0.03659
19811231,-0.026959,-0.029646,-0.030075
19820129,-0.015334,-0.016837,-0.017544
19820226,-0.050441,-0.059588,-0.060548
19820331,-0.006922,-0.010579,-0.010167
19820430,0.04145,0.039977,0.040014
19820528,-0.029505,-0.039834,-0.039162
19820630,-0.016438,-0.019603,-0.02029
19820730,-0.020211,-0.02207,-0.022991
19820831,0.127359,0.116582,0.115977
19820930,0.010452,0.007671,0.007614
19821029,0.113727,0.111089,0.110364
19821130,0.045419,0.037213,0.036123
19821231,0.016671,0.014566,0.015158
19830131,0.035297,0.033321,0.033134
19830228,0.025747,0.018552,0.018995
19830331,0.035427,0.032411,0.033095
19830429,0.075719,0.074655,0.074922
19830531,-0.005687,-0.0121,-0.012346
19830630,0.03697,0.033719,0.035224
19830729,-0.031263,-0.032347,-0.033014
19830831,0.01593,0.009546,0.011319
19830930,0.014057,0.010779,0.010158
19831031,-0.013163,-0.014752,-0.015174
19831130,0.023846,0.017363,0.017426
19831230,-0.006271,-0.009334,-0.008834
19840131,-0.003898,-0.005657,-0.009216
19840229,-0.034024,-0.039493,-0.038859
19840330,0.017387,0.013796,0.013498
19840430,0.00688,0.005329,0.005466
19840531,-0.053262,-0.059692,-0.059356
19840629,0.022959,0.018722,0.017469
19840731,-0.013827,-0.015711,-0.016451
19840831,0.112294,0.105602,0.106332
19840928,-0.000053,-0.003281,-0.00348
19841031,0.003369,0.000241,-0.00006
19841130,-0.009888,-0.015005,-0.015112
19841231,0.025471,0.021755,0.022374
19850131,0.076829,0.074694,0.074085
19850228,0.014154,0.008878,0.008685
19850329,-0.000636,-0.00398,-0.002925
19850430,-0.003752,-0.005463,-0.004594
19850531,0.062723,0.056817,0.054051
19850628,0.0159,0.012755,0.012134
19850731,-0.003261,-0.005179,-0.004848
19850830,-0.006567,-0.011964,-0.011995
19850930,-0.033237,-0.036186,-0.034724
19851031,0.045038,0.042608,0.042509
19851129,0.071722,0.066471,0.065062
19851231,0.048061,0.045065,0.045061
19860131,0.004683,0.002935,0.002367
19860228,0.07643,0.071459,0.071489
19860331,0.055832,0.05332,0.052794
19860430,-0.013517,-0.015227,-0.014148
19860530,0.054905,0.05038,0.050229
19860630,0.015706,0.012927,0.01411
19860731,-0.057493,-0.059333,-0.058683
19860829,0.074244,0.069899,0.071193
19860930,-0.083267,-0.085689,-0.085439
19861031,0.056302,0.053574,0.054729
19861128,0.02484,0.019677,0.021477
19861231,-0.027613,-0.030276,-0.028288
19870130,0.135156,0.133696,0.131767
19870227,0.041481,0.03754,0.036924
19870331,0.02622,0.023716,0.02639
19870430,-0.009133,-0.011179,-0.01145
19870529,0.00914,0.00521,0.006034
19870630,0.050109,0.047624,0.047915
19870731,0.049748,0.047784,0.048224
19870831,0.038987,0.035316,0.034959
19870930,-0.021989,-0.024129,-0.024166
19871030,-0.215816,-0.217967,-0.21763
19871130,-0.081874,-0.086541,-0.085349
19871231,0.07352,0.070629,0.072861
19880129,0.042712,0.041086,0.040432
19880229,0.04717,0.040307,0.041817
19880331,-0.03089,-0.033412,-0.033343
19880429,0.010142,0.008417,0.009425
19880531,0.007958,0.002847,0.003176
19880630,0.047411,0.044799,0.043256
19880729,-0.004443,-0.00738,-0.005411
19880831,-0.032518,-0.03732,-0.0386
19880930,0.042739,0.040086,0.039729
19881031,0.02689,0.023327,0.025964
19881130,-0.014312,-0.01973,-0.018891
19881230,0.018493,0.015123,0.014688
19890131,0.07235,0.069676,0.071115
19890228,-0.024394,-0.028498,-0.028944
19890331,0.023102,0.020563,0.020806
19890428,0.051557,0.049756,0.05009
19890531,0.041031,0.035459,0.035138
19890630,-0.005608,-0.007924,-0.007925
19890731,0.089834,0.087967,0.08837
19890831,0.018987,0.014672,0.015517
19890929,-0.004036,-0.006648,-0.006544
19891031,-0.02358,-0.025609,-0.025175
19891130,0.020479,0.016641,0.016541
19891229,0.02265,0.019981,0.021417
19900131,-0.067661,-0.069407,-0.068817
19900228,0.013381,0.008986,0.008539
19900330,0.026459,0.024237,0.024255
19900430,-0.024504,-0.026508,-0.026887
19900531,0.097385,0.092373,0.091989
19900629,-0.006752,-0.008917,-0.008886
19900731,-0.004454,-0.006508,-0.005223
19900831,-0.090846,-0.094945,-0.094314
19900928,-0.049015,-0.05127,-0.051184
19901031,-0.003595,-0.00611,-0.006698
19901130,0.064561,0.059897,0.059934
19901231,0.027906,0.024871,0.024828
19910131,0.045023,0.043084,0.041518
19910228,0.071537,0.067349,0.067281
19910328,0.024354,0.022312,0.022203
19910430,0.002199,0.000148,0.000346
19910531,0.042943,0.038768,0.038577
19910628,-0.045357,-0.047498,-0.047893
19910731,0.046526,0.044799,0.044859
19910830,0.023885,0.019912,0.019649
19910930,-0.016985,-0.019188,-0.019144
19911031,0.013458,0.011899,0.01186
19911129,-0.040317,-0.044092,-0.043928
19911231,0.114089,0.111476,0.111588
19920131,-0.017928,-0.019243,-0.0199
19920228,0.012826,0.009403,0.009565
19920331,-0.01947,-0.021873,-0.021832
19920430,0.028672,0.027214,0.027893
19920529,0.00485,0.001087,0.000964
19920630,-0.01503,-0.017545,-0.017359
19920731,0.041152,0.039689,0.039374
19920831,-0.02073,-0.024332,-0.023998
19920930,0.01134,0.008916,0.009106
19921030,0.004724,0.003382,0.002106
19921130,0.033794,0.030069,0.030262
19921231,0.01338,0.011197,0.010108
19930129,0.007282,0.005964,0.007046
19930226,0.013526,0.010361,0.010484
19930331,0.02133,0.018707,0.018697
19930430,-0.024519,-0.02578,-0.025417
19930528,0.026259,0.022549,0.022717
19930630,0.003466,0.001095,0.000755
19930730,-0.004686,-0.006007,-0.005327
19930831,0.037431,0.033957,0.034432
19930930,-0.00767,-0.009931,-0.009988
19931029,0.020142,0.018845,0.019393
19931130,-0.008617,-0.012047,-0.012911
19931231,0.012241,0.010209,0.010091
19940131,0.033602,0.032122,0.032501
19940228,-0.027161,-0.030121,-0.030045
19940331,-0.043361,-0.045639,-0.045746
19940429,0.012468,0.011121,0.011531
19940531,0.016309,0.012559,0.012419
19940630,-0.02459,-0.02696,-0.026812
19940729,0.032836,0.031502,0.031467
19940831,0.041341,0.03799,0.037643
19940930,-0.024269,-0.026572,-0.026898
19941031,0.022738,0.021169,0.020834
19941130,-0.036248,-0.039423,-0.039505
19941230,0.01478,0.01224,0.012299
19950131,0.026,0.024348,0.024278
19950228,0.039285,0.03639,0.036074
19950331,0.029228,0.027063,0.027329
19950428,0.0294,0.02792,0.02796
19950531,0.039649,0.036283,0.036312
19950630,0.024155,0.022198,0.021279
19950731,0.033478,0.032089,0.031776
19950831,0.003391,0.00054,-0.00032
19950929,0.04198,0.040057,0.040098
19951031,-0.003533,-0.004957,-0.004979
19951130,0.044357,0.041507,0.041049
19951229,0.017983,0.01615,0.017444
19960131,0.034971,0.033522,0.032617
19960229,0.010178,0.007776,0.006934
19960329,0.009399,0.007676,0.007917
19960430,0.01495,0.013677,0.013431
19960531,0.025378,0.022649,0.022853
19960628,0.004128,0.002562,0.002257
19960731,-0.044559,-0.046167,-0.045748
19960830,0.021937,0.019591,0.018814
19960930,0.055909,0.053984,0.054173
19961031,0.026836,0.025376,0.026131
19961129,0.076431,0.074193,0.073376
19961231,-0.019886,-0.021589,-0.021505
19970131,0.063143,0.062055,0.061317
19970228,0.007752,0.0058,0.005928
19970331,-0.041653,-0.04331,-0.042614
19970430,0.060332,0.059073,0.058406
19970530,0.061243,0.059114,0.058577
19970630,0.043996,0.042652,0.043453
19970731,0.080108,0.078699,0.078123
19970829,-0.055083,-0.056577,-0.057446
19970930,0.054028,0.052549,0.053154
19971031,-0.032783,-0.033909,-0.034478
19971128,0.046091,0.044394,0.044587
19971231,0.016577,0.015133,0.015732
19980130,0.0121,0.01119,0.01015
19980227,0.07193,0.070276,0.070449
19980331,0.051336,0.050104,0.049946
19980430,0.011362,0.010314,0.009076
19980529,-0.017723,-0.019256,-0.018826
19980630,0.040864,0.039693,0.039438
19980731,-0.010222,-0.01123,-0.011615
19980831,-0.143465,-0.14484,-0.145797
19980930,0.063037,0.061494,0.062396
19981030,0.080725,0.079761,0.080294
19981130,0.062037,0.060551,0.059126
19981231,0.058602,0.057379,0.056375
19990129,0.042678,0.04187,0.041009
19990226,-0.031935,-0.033156,-0.032283
19990331,0.039031,0.037828,0.038794
19990430,0.037603,0.036814,0.037944
19990528,-0.023189,-0.024866,-0.02497
19990630,0.054055,0.053025,0.054438
19990730,-0.030412,-0.031278,-0.032046
19990831,-0.005039,-0.006298,-0.006254
19990930,-0.028142,-0.02932,-0.028552
19991029,0.064121,0.063395,0.062539
19991130,0.020624,0.019346,0.019062
19991231,0.05756,0.056524,0.057844
20000131,-0.050096,-0.050765,-0.050904
20000229,-0.017459,-0.018667,-0.020108
20000331,0.098482,0.097424,0.09672
20000428,-0.031306,-0.032034,-0.030796
20000531,-0.022362,-0.02368,-0.021915
20000630,0.025326,0.024599,0.023934
20000731,-0.012496,-0.013269,-0.016341
20000831,0.062512,0.061193,0.060699
20000929,-0.052088,-0.052795,-0.053483
20001031,-0.003935,-0.004646,-0.004949
20001130,-0.078437,-0.079731,-0.080069
20001229,0.005192,0.004331,0.004053
20010131,0.03227,0.031447,0.034637
20010228,-0.090948,-0.092128,-0.092291
20010330,-0.063794,-0.064676,-0.064205
20010430,0.077628,0.076782,0.076814
20010531,0.006826,0.005285,0.00509
20010629,-0.024623,-0.025301,-0.025004
20010731,-0.009799,-0.010734,-0.010772
20010831,-0.063175,-0.064678,-0.064108
20010928,-0.080494,-0.081488,-0.081723
20011031,0.019677,0.018686,0.018099
20011130,0.077537,0.076009,0.075176
20011231,0.008923,0.00773,0.007574
20020131,-0.014462,-0.01546,-0.015574
20020228,-0.019419,-0.020908,-0.020766
20020328,0.037572,0.03669,0.036739
20020430,-0.061001,-0.061826,-0.061418
20020531,-0.008074,-0.009714,-0.009081
20020628,-0.071505,-0.072768,-0.072465
20020731,-0.076294,-0.077373,-0.078995
20020830,0.006915,0.005254,0.004881
20020930,-0.108846,-0.110292,-0.110013
20021031,0.088599,0.087103,0.086436
20021129,0.059219,0.057481,0.05707
20021231,-0.058885,-0.060515,-0.060333
20030131,-0.026579,-0.02786,-0.027415
20030228,-0.015307,-0.017287,-0.017004
20030331,0.010331,0.008989,0.008358
20030430,0.082778,0.081465,0.081044
20030530,0.053251,0.051508,0.050899
20030630,0.012816,0.011351,0.011322
20030731,0.017937,0.016509,0.016224
20030829,0.01959,0.018007,0.017873
20030930,-0.010711,-0.012082,-0.011944
20031031,0.05556,0.05397,0.054962
20031128,0.009215,0.007561,0.007129
20031231,0.05178,0.050107,0.050765
20040130,0.019078,0.017991,0.017276
20040227,0.014343,0.012659,0.012209
20040331,-0.015024,-0.016311,-0.016359
20040430,-0.015563,-0.016701,-0.016791
20040528,0.013679,0.012074,0.012083
20040630,0.019488,0.018019,0.017989
20040730,-0.032963,-0.034122,-0.034291
20040831,0.003806,0.002017,0.002287
20040930,0.01082,0.009349,0.009364
20041029,0.014922,0.013648,0.014014
20041130,0.040555,0.035565,0.038595
20041231,0.033772,0.032137,0.032458
20050131,-0.023824,-0.024749,-0.02529
20050228,0.021152,0.019015,0.018903
20050331,-0.017585,-0.019076,-0.019118
20050429,-0.018926,-0.020076,-0.020109
20050531,0.031994,0.030156,0.029952
20050630,0.001717,0.000139,-0.000143
20050729,0.037323,0.036119,0.035968
20050831,-0.009301,-0.011403,-0.011222
20050930,0.008067,0.006916,0.006949
20051031,-0.015705,-0.016732,-0.017741
20051130,0.038025,0.035407,0.035186
20051230,-0.000083,-0.00142,-0.000952
20060131,0.026495,0.025498,0.025467
20060228,0.002414,0.000152,0.000453
20060331,0.012865,0.011468,0.011065
20060428,0.011773,0.010552,0.012187
20060531,-0.028334,-0.030534,-0.030917
20060630,0.001602,0.000362,0.000087
20060731,0.005565,0.004503,0.005086
20060831,0.024162,0.021688,0.021274
20060929,0.026487,0.025296,0.024566
20061031,0.03239,0.031281,0.031508
20061130,0.018234,0.015541,0.016467
20061229,0.013559,0.01208,0.012616
20070131,0.015331,0.014361,0.014059
20070228,-0.019335,-0.021647,-0.021846
20070330,0.011,0.009611,0.00998
20070430,0.043961,0.042826,0.043291
20070531,0.034393,0.032085,0.032549
20070629,-0.016658,-0.017867,-0.017816
20070731,-0.030659,-0.031743,-0.031982
20070831,0.014992,0.012756,0.012864
20070928,0.037536,0.035988,0.035794
20071031,0.016992,0.015919,0.014822
20071130,-0.041453,-0.043656,-0.044043
20071231,-0.006305,-0.008175,-0.008628
20080131,-0.060868,-0.062035,-0.061163
20080229,-0.031419,-0.033693,-0.034761
20080331,-0.003492,-0.005148,-0.00596
20080430,0.048629,0.04749,0.047547
20080530,0.012986,0.010708,0.010674
20080630,-0.083438,-0.085171,-0.085962
20080731,-0.007378,-0.00881,-0.009859
20080829,0.014987,0.012715,0.012191
20080930,-0.085915,-0.087735,-0.090791
20081031,-0.167162,-0.16864,-0.169425
20081128,-0.073708,-0.076718,-0.074849
20081231,0.011119,0.008359,0.007822
20090130,-0.08239,-0.083818,-0.085657
20090227,-0.103672,-0.107449,-0.109931
20090331,0.087702,0.085621,0.085405
20090430,0.094229,0.092549,0.093925
20090529,0.05464,0.051848,0.053081
20090630,0.00281,0.001017,0.000196
20090731,0.074623,0.073241,0.074142
20090831,0.034773,0.032276,0.03356
20090930,0.036603,0.035048,0.035723
20091030,-0.01801,-0.01921,-0.019762
20091130,0.060039,0.057387,0.057364
20091231,0.018741,0.017097,0.017771
20100129,-0.035785,-0.036815,-0.036974
20100226,0.030326,0.0279,0.028514
20100331,0.06107,0.059483,0.058796
20100430,0.015988,0.014968,0.014759
20100528,-0.080111,-0.082337,-0.081976
20100630,-0.05351,-0.055101,-0.053882
20100730,0.070475,0.068653,0.068778
20100831,-0.04547,-0.047881,-0.047449
20100930,0.090383,0.088751,0.087551
20101029,0.038726,0.037081,0.036856
20101130,-0.000101,-0.002623,-0.00229
20101231,0.067338,0.065527,0.0653
20110131,0.02336,0.022328,0.022646
20110228,0.032444,0.030185,0.031957
20110331,0.000607,-0.000889,-0.001047
20110429,0.029622,0.028535,0.028495
20110531,-0.011313,-0.013573,-0.013501
20110630,-0.016456,-0.018019,-0.018258
20110729,-0.019909,-0.021068,-0.021474
20110831,-0.054322,-0.056734,-0.056791
20110930,-0.069822,-0.071325,-0.071762
20111031,0.108836,0.107374,0.107723
20111130,-0.002627,-0.005451,-0.005059
20111230,0.009452,0.007634,0.008533
20120131,0.045232,0.044029,0.043583
20120229,0.04334,0.040744,0.040589
20120330,0.03287,0.031284,0.031332
20120430,-0.006031,-0.007235,-0.007497
20120531,-0.059804,-0.06246,-0.062651
20120629,0.041467,0.039743,0.039555
20120731,0.014084,0.012815,0.012598
20120831,0.022744,0.019938,0.019763
20120928,0.025079,0.023503,0.024236
20121031,-0.017939,-0.019329,-0.019789
20121130,0.005326,0.002154,0.002847
20121231,0.00853,0.005924,0.007068
20130131,0.052243,0.050949,0.050428
20130228,0.013008,0.010505,0.011061
20130328,0.037584,0.036025,0.035988
20130430,0.019621,0.018482,0.018086
20130531,0.023142,0.020359,0.020763
20130628,-0.013587,-0.015254,-0.014999
20130731,0.050719,0.049333,0.049462
20130830,-0.029207,-0.031638,-0.031298
20130930,0.031508,0.029909,0.029749
20131031,0.046256,0.044939,0.044596
20131129,0.030789,0.028368,0.028049
20131231,0.025192,0.023432,0.023563
20140131,-0.034568,-0.035633,-0.035583
20140228,0.045757,0.043194,0.043117
20140331,0.008108,0.006588,0.006932
20140430,0.00719,0.00601,0.006201
20140530,0.02321,0.020793,0.02103
20140630,0.020623,0.019034,0.019058
20140731,-0.013886,-0.015191,-0.01508
20140829,0.039744,0.037411,0.037655
20140930,-0.013912,-0.015452,-0.015514
20141031,0.023972,0.0228,0.023201
20141128,0.027601,0.025127,0.024534
20141231,-0.002553,-0.004327,-0.004189
20150130,-0.029498,-0.030539,-0.031041
20150227,0.057008,0.054305,0.054893
20150331,-0.015438,-0.017073,-0.017396
20150430,0.009179,0.008081,0.008521
20150529,0.012522,0.010141,0.010491
20150630,-0.019341,-0.021019,-0.021012
20150731,0.021139,0.019939,0.019742
20150831,-0.060252,-0.062602,-0.062581
20150930,-0.024528,-0.026237,-0.026443
20151030,0.083537,0.082135,0.082983
20151130,0.00302,0.000454,0.000505
20151231,-0.015236,-0.017066,-0.01753
20160129,-0.049122,-0.050273,-0.050735
20160229,-0.001641,-0.004359,-0.004128
20160331,0.067392,0.065193,0.065991
20160429,0.003709,0.002538,0.002699
20160531,0.018429,0.015822,0.015329
20160630,0.002683,0.001008,0.000906
20160729,0.036619,0.035373,0.03561
20160831,0.001247,-0.001396,-0.001219
20160930,0.000263,-0.001222,-0.001234
20161031,-0.017963,-0.019211,-0.019426
20161130,0.035821,0.033039,0.034174
20161230,0.019176,0.017545,0.018201
20170131,0.019372,0.018298,0.017884
20170228,0.039393,0.036983,0.037198
20170331,0.001572,-0.000042,-0.000389
20170428,0.010517,0.009365,0.009091
20170531,0.014552,0.01192,0.011576
20170630,0.00594,0.004501,0.004814
20170731,0.020729,0.019193,0.019349
20170831,0.002239,-0.000326,0.000546
20170929,0.020127,0.018818,0.019303
20171031,0.024139,0.022987,0.022188
20171130,0.031389,0.02886,0.028083
20171229,0.011149,0.009851,0.009832
20180131,0.058083,0.05704,0.056179
20180228,-0.037661,-0.039702,-0.038947
20180329,-0.025583,-0.027219,-0.026885
20180430,0.003771,0.002656,0.002719
20180531,0.023625,0.021141,0.021608
20180629,0.006597,0.005262,0.004842
20180731,0.037157,0.035982,0.036022
20180831,0.032843,0.029978,0.030263
20180928,0.005105,0.003725,0.004294
20181031,-0.068406,-0.069491,-0.069403
20181130,0.020004,0.017499,0.017859
20181231,-0.090936,-0.092468,-0.091777
,,,
"Wharton Research Data Services. ""CRSP Portfolios on the S&P 500"" wrds.wharton.upenn.edu, accessed 02/25/2019.",,,
